mean_claim,Capital_Promedio,Desviacion_Estandar,Porcentaje_Quiebra
90,4849.204981240296,2055.2148541294237,0.0
95,4158.184396187725,2096.3722085999807,0.0
100,2624.063405210581,1777.4316583417308,6.666666666666667
105,678.1906917506582,2281.594931413456,46.666666666666664
110,-60.104376780784946,2642.051212443716,40.0
