lam,Capital_Promedio,Desviacion_Estandar,Porcentaje_Quiebra
0.09,9945.795109979199,4374.870286239286,0.0
0.095,5339.039495105526,3834.1436355974183,13.333333333333334
0.1,461.77499905323634,3997.279627430832,40.0
0.105,-4090.85416499537,4597.505108121481,86.66666666666667
0.11,-6485.966056936014,5453.976505996896,83.33333333333333
