nu,Capital_Promedio,Desviacion_Estandar,Porcentaje_Quiebra
3,3690.698861042025,3060.834437409199,13.333333333333334
5,4453.060599850924,3171.4916671001934,3.3333333333333335
7,5909.334386373169,4178.546267450703,10.0
9,9625.06054631211,4839.7164480312695,3.3333333333333335
